SQLDATE,Actor1CountryCode,Actor1KnownGroupCode,EVENTS
19920509,,,5
19960308,,,6
20070805,,,7
20041202,,,4
20111230,SYR,,7
20101004,,,34
20070120,,,24
20061020,,,17
19950726,,,7
20090212,,,34
20000517,,,20
20010223,,,14
19860124,,,1
19910520,,,3
20120216,SYR,,5
20111219,EGY,,6
19910724,,,2
20001231,,,4
20080727,KOR,,2
20130524,BHR,,3
20000628,,,11
20031203,,,11
20051204,,,8
19960109,,,3
20040830,PSE,,2
20121210,ARM,,1
20110609,SYR,,2
20120106,,,53
20131221,THA,,17
20030130,,,14
20100805,PSE,,14
19960621,,,12
19941211,,,12
19911028,,,3
20010405,CHN,,4
20050719,,,15
20091003,,,21
20130314,USA,,13
19810521,,,20
20120218,PSE,,6
19970401,ISR,,1
20100920,ETH,,3
19860530,,,7
20021217,,,6
20120320,TUR,,3
20140118,,,29
20090801,MYS,,2
20010505,,,13
20001110,,,6
20110801,RUS,,5
20070614,,,21
20081005,,,25
20011129,,,10
20020228,,,5
19910420,,,5
20110824,,,89
20110224,IRQ,,2
20070415,RUS,,10
20131005,AZE,,1
20040322,,,19
20130902,ZAF,,1
20090910,,,16
19850830,,,3
19871111,,,7
20051217,ESP,,2
20080622,CHN,,2
20051231,,,10
19971025,FRA,,6
20090802,PAK,,2
19970501,,,12
19930526,,,8
19920519,KEN,,2
20120924,JPN,,2
20111009,SYR,,3
20061013,,,11
19980519,,,11
20120430,PSE,,32
19990426,,,10
20130302,,,111
19890221,,,3
20080709,ZWE,,1
20120918,BLR,,1
19950503,,,6
19900126,,,1
19870910,,,1
20090604,PAK,,1
20100619,,,25
20080108,,,29
19900403,,,1
20010613,,,24
20030518,,,6
20120219,PSE,,13
20111126,EGY,,13
20120628,USA,,3
20130801,DEU,,3
20041122,,,9
19980316,ISR,,1
20020705,BLR,,1
19971130,,,7
19940222,,,1
19850403,,,2
19990914,TUR,,1
20080531,PAK,,2
20120227,USA,,4
20071103,,,28
19980220,PSE,,9
19950225,AFR,,1
20070814,,,10
19961228,,,15
20090113,,,25
20070101,,,6
19830620,,,3
20021111,KAZ,,1
20000507,,,17
19960816,,,8
20030704,,,11
20130514,,,25
20070412,UGA,,6
20030511,,,10
20110305,SAU,,4
20000324,,,4
20081225,,,32
20010610,,,5
20050324,,,15
19970222,,,5
19930629,,,7
20080218,USA,,4
19950126,,,6
20021125,,,13
19990205,PSE,,2
20050105,,,1
20111023,AUS,,9
20040125,,,9
20070602,DEU,,1
19831220,,,4
20080710,IND,,2
20130919,YEM,,3
20140103,EGY,,10
20001212,,,13
19891014,,,6
20121127,ISR,,4
20110322,EGY,,2
20140731,LBY,,1
20140522,PHL,,1
20120512,SYR,,3
20071119,,,23
20070803,PAK,,2
20120126,USA,,2
19980515,PSE,,2
20061229,,,11
19940214,,,2
20101117,USA,,1
20131006,MEX,,1
20030709,ITA,,3
19890109,,,1
20040324,,,12
20130629,ZAF,,7
19831021,,,2
19920331,,,6
19870502,,,2
19971006,,,4
20071213,,,25
20040205,,,15
20110126,UKR,,1
19881126,,,4
20090828,,,22
20040528,,,13
19800116,CHE,,1
20041016,,,5
20120722,PSE,,5
20030731,,,8
20121121,USA,,1
19970620,PSE,,2
20030226,CHN,,3
19860512,,,2
19910906,,,4
20080125,USA,,7
20011015,,,15
20111207,COD,,8
20070730,,,18
19970627,,,8
20040502,,,8
20120816,USA,,1
20080418,ZWE,,2
20110831,YEM,,2
20121017,SAU,,1
20060810,,,4
19911104,,,4
20080102,PAK,,2
19980314,,,6
20010807,,,10
19791004,,,1
20120915,EGY,,20
19810804,,,5
19991127,,,5
19870214,,,4
20090708,CHN,,2
19820412,,,6
20120301,PSE,,3
20040824,,,17
19820507,,,5
20150307,IDN,,1
20010628,UKR,,1
20110220,DEU,,2
20110508,CUB,,2
20110125,TUN,,8
20121002,EGY,,1
20010415,,,7
20041018,BHR,,1
20120130,CUB,,3
20121119,TUR,,2
19981211,,,10
19920207,,,2
20031109,,,6
20150818,FRA,,1
20150806,MYS,,2
20150708,TUR,,2
20110216,YEM,,9
19930627,,,1
20130608,PSE,,1
20120220,YEM,,5
19821028,,,3
20070114,,,13
20010810,,,12
19990425,BGD,,1
19811205,,,1
20100401,SDN,,1
19790312,,,2
19870805,,,2
19970118,,,7
20130308,CHL,,6
19830825,,,5
19960525,,,2
19971226,,,4
20120109,SYR,,3
20130510,IRN,,2
20061029,,,10
20110710,YEM,,1
19960825,,,9
20050607,,,15
19970328,,,6
20120901,USA,,3
20111127,EGY,,10
20110217,LBY,,14
20130814,PHL,,2
19830303,,,4
20041108,,,5
20110829,EGY,,1
20110709,PSE,,2
20000125,,,7
19970904,,,5
19970411,,,11
20110226,GAB,,2
20080821,CHN,,2
20021218,,,7
19900102,,,4
