GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AH7001,AG9001,AG9002,AG9003,AG9004,AG9005,AG9006,AG9007,AG9008,AG9009,AG9010,AG9011,AG9012,AG9013,AG9014,AG9015,AG9016,AG9017,AG9018,AG9019,AG9020,AG9021,AHA001,AHB001,AHB002
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,Aggregate population,1 slave,2 slaves,3 slaves,4 slaves,5 slaves,6 slaves,7 slaves,8 slaves,9 slaves,10 to 14 slaves,15 to 19 slaves,20 to 29 slaves,30 to 39 slaves,40 to 49 slaves,50 to 69 slaves,70 to 99 slaves,100 to 199 slaves,200 to 299 slaves,300 to 499 slaves,500 to 999 slaves,1000 slaves and over,Total,Slave,Free
"G315","1860","Nebraska Territory","315",,,"Nebraska Territory",28826,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,28826
"G325","1860","Nevada Territory","325",,,"Nevada Territory",6857,,,,,,,,,,,,,,,,,,,,,,,,6857
"G330","1860","New Hampshire","330",,,"New Hampshire",326073,,,,,,,,,,,,,,,,,,,,,,,,326073
"G340","1860","New Jersey","340",,,"New Jersey",672017,,,,,,,,,,,,,,,,,,,,,,,,672017
"G355","1860","New Mexico Territory","355",,,"New Mexico Territory",93516,,,,,,,,,,,,,,,,,,,,,,,,93516
"G360","1860","New York","360",,,"New York",3880735,,,,,,,,,,,,,,,,,,,,,,,,3880735
"G370","1860","North Carolina","370",,,"North Carolina",661563,6440,4017,3068,2546,2245,1887,1619,1470,1228,4044,2029,1977,870,474,423,188,118,11,4,0,0,34658,331059,661563
"G390","1860","Ohio","390",,,"Ohio",2339511,,,,,,,,,,,,,,,,,,,,,,,,2339511
"G410","1860","Oregon","410",,,"Oregon",52465,,,,,,,,,,,,,,,,,,,,,,,,52465
"G420","1860","Pennsylvania","420",,,"Pennsylvania",2906215,,,,,,,,,,,,,,,,,,,,,,,,2906215
"G440","1860","Rhode Island","440",,,"Rhode Island",174620,,,,,,,,,,,,,,,,,,,,,,,,174620
"G450","1860","South Carolina","450",,,"South Carolina",301302,3763,2533,1990,1731,1541,1366,1207,1095,973,3334,1876,1984,1083,579,710,487,363,56,22,7,1,26701,402406,301302
"G470","1860","Tennessee","470",,,"Tennessee",834082,7820,4738,3609,3012,2536,2066,1783,1565,1260,3779,1744,1623,643,284,219,116,40,6,1,0,0,36844,275719,834082
"G480","1860","Texas","480",,,"Texas",421649,4593,2874,2093,1782,1439,1125,928,790,668,2237,1186,1095,491,241,194,88,52,2,0,0,0,21878,182566,421649
"G495","1860","Utah Territory","495",,,"Utah Territory",40244,8,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,29,40244
"G500","1860","Vermont","500",,,"Vermont",315098,,,,,,,,,,,,,,,,,,,,,,,,315098
"G510","1860","Virginia","510",,,"Virginia",1105453,11085,5989,4474,3807,3233,2824,2393,1984,1788,5686,3088,3017,1291,609,503,243,105,8,1,0,0,52128,490865,1105453
"G535","1860","Washington Territory","535",,,"Washington Territory",11594,,,,,,,,,,,,,,,,,,,,,,,,11594
"G550","1860","Wisconsin","550",,,"Wisconsin",775881,,,,,,,,,,,,,,,,,,,,,,,,775881
